,2B,3B,BA,BB,HBP,HOF,HR,IBB,OBP,OPS,SB,SF,SLG,firstName,games,hits,lastName,player_id,runs,seasons,WAR
0,0.01,0.01,0.0025,0.01,0.01,N,0.01,0.01,0.007444168734491316,0.024944168734491318,0.01,0.01,0.0175,Francis Patterson,1.0,0.01,Abercrombie,abercda01,0.01,1.0,-0.07
1,35.0,12.02,0.2770105605199025,19.009999999999998,0.07,N,1.06,0.07,0.2880294364676239,0.6155842699363485,30.03,0.07,0.32755483346872466,Robert Edward,274.0,341.0,Addy,addybo01,227.0,7.0,2.89
2,19.0,8.02,0.25405405405405407,5.029999999999999,0.060000000000000005,N,1.05,0.060000000000000005,0.25912903442259955,0.5647911965847616,10.03,0.060000000000000005,0.30566216216216213,Arthur Algernon,168.0,188.0,Allison,allisar01,106.0,6.0,0.2
3,581.0,142.0,0.3325873309331517,983.0,32.16,N,97.10000000000001,0.2700000000000001,0.3925780367910184,0.8376787471150429,276.11,0.2700000000000001,0.44510071032402454,Adrian Constantine,2523.0,3418.0,Anson,ansonca01,1996.0,27.0,93.92
4,2.0,1.0,0.22448979591836735,0.01,0.01,N,0.01,0.01,0.22476035080562923,0.5314950446831803,0.01,0.01,0.30673469387755103,Robert,12.0,11.0,Armstrong,armstbo01,9.0,1.0,0.0
5,0.01,0.01,0.25,1.0,0.01,N,0.01,0.01,0.40039840637450197,0.665398406374502,0.01,0.01,0.265,Alfred L.,1.0,1.0,Barker,barkeal01,0.01,1.0,0.03
6,1.02,0.03,0.1546153846153846,0.03,0.03,N,0.03,0.03,0.15813598166539342,0.402751366280778,0.03,0.03,0.2446153846153846,William,3.0,2.01,Barrett,barrebi01,1.02,3.0,-0.23
7,2.0,1.0,0.1511627906976744,0.01,0.01,N,0.01,0.01,0.15134255492270135,0.34936581073665485,1.0,0.01,0.1980232558139535,Franklin Lee,18.0,13.0,Barrows,barrofr01,13.0,1.0,-0.87
8,2.01,10.02,0.29,3.0199999999999996,0.03,N,3.0199999999999996,0.03,0.31092355452076054,0.9120235545207604,0.03,0.03,0.6011,John Elias,25.0,29.0,Bass,bassjo01,19.01,3.0,0.44
9,15.02,16.02,0.24304267161410018,8.01,0.060000000000000005,N,0.060000000000000005,0.060000000000000005,0.2541809076453494,0.5848673640460915,4.029999999999999,0.060000000000000005,0.3306864564007421,Thomas Lamb,123.0,131.0,Beals,bealsto01,109.0,6.0,0.8
