player_id,WAR
aardsda01,0.1
aaronha01,142.57
aaronto01,-2.79
aasedo01,0.23
abadan01,-0.36
abadfe01,0.02
abadijo01,-0.06
abbated01,8.59
abbeybe01,-1.01
abbeych01,1.78
abbotda01,0.01
abbotfr01,0.08
abbotgl01,0.15
abbotje01,-1.4
abbotji01,0.05
abbotku01,0.57
abbotky01,-0.02
abbotod01,-0.41
abbotpa01,0.23
aberal01,-0.37
abercda01,-0.07
abercre01,-0.17
abernbi01,-0.01
abernbr01,0.03
abernte01,0.02
abernte02,-0.6
abernwo01,-0.14
aberscl01,0.06
ablesha01,-0.45
abnersh01,-1.27
abramca01,8.52
abramge01,0.05
abregjo01,-0.13
abreubo01,59.91
abreujo01,0.1
abreujo02,16.85
abreuju01,0
abreuto01,-0.46
abreuwi01,-0.02
abstebi01,-0.43
accarje01,0.08
aceveal01,0.07
acevejo01,-0.56
aceveju01,-0.28
achteaj01,0.01
ackerji01,0.43
ackerto01,-0.38
ackledu01,8.07
acklefr01,0.13
acostcy01,-0.07
acosted01,-0.26
acostjo01,-0.07
acostma01,0.09
acostme01,0.63
acrema01,0.06
adairje01,8.4
adairji01,-0.03
adamecr01,-0.74
adamsac01,-0.51
adamsau01,-0.03
adamsau02,0
adamsba01,2.5
adamsbe01,-2.38
adamsbo01,0.02
adamsbo02,-0.05
adamsbo03,14.29
adamsbo04,-0.03
adamsbu01,8.35
adamsda01,-0.11
adamsda02,-0.16
adamsdi01,-0.25
adamsdo01,-0.1
adamsge01,-0.06
adamsgl01,-1.23
adamshe01,-0.26
adamsji01,-0.02
adamsjo01,-0.03
adamsjo02,0.05
adamska01,-0.54
adamsla01,0.41
adamsma01,4.76
adamsmi01,0.12
adamsmi02,0.26
adamsmi03,0.18
adamsre01,-0.01
adamsri01,0.12
adamsri02,0.83
adamsru01,-6.94E-17
adamsry01,-0.33
adamssp01,15.89
adamssp02,-1.03
adamste01,-0.09
adamswi01,-0.74
adamswi02,0.02
adcocjo01,33.47
adcocna01,0.01
addisbo01,0.73
adducji01,-0.53
adducji02,0.76
addybo01,2.89
adenhni01,0
aderhmo01,-0.18
