,2B,3B,BA,BB,HBP,HOF,HR,IBB,OBP,OPS,SB,SF,SLG,firstName,games,hits,lastName,player_id,runs,seasons,WAR,BA,WAR,OBP,OPS,SLG,seasons,predictions
1,35.0,12.02,0.2770105605199025,19.01,0.07,0,1.06,0.07,0.2880294364676239,0.6155842699363485,30.03,0.07,0.32755483346872466,Robert Edward,274.0,341.0,Addy,addybo01,227.0,7.0,2.89,0.2770105605199025,2.89,0.2880294364676239,0.6155842699363485,0.32755483346872466,7.0,0
2,19.0,8.02,0.2540540540540541,5.0299999999999985,0.06000000000000001,0,1.05,0.06000000000000001,0.25912903442259955,0.5647911965847616,10.03,0.06000000000000001,0.3056621621621621,Arthur Algernon,168.0,188.0,Allison,allisar01,106.0,6.0,0.2,0.2540540540540541,0.2,0.25912903442259955,0.5647911965847616,0.3056621621621621,6.0,0
3,581.0,142.0,0.3325873309331517,983.0,32.16,0,97.1,0.2700000000000001,0.3925780367910184,0.8376787471150429,276.11,0.2700000000000001,0.4451007103240245,Adrian Constantine,2523.0,3418.0,Anson,ansonca01,1996.0,27.0,93.92,0.3325873309331517,93.92,0.3925780367910184,0.8376787471150429,0.4451007103240245,27.0,0
9,15.02,16.02,0.24304267161410015,8.01,0.06000000000000001,0,0.06000000000000001,0.06000000000000001,0.2541809076453494,0.5848673640460915,4.0299999999999985,0.06000000000000001,0.3306864564007421,Thomas Lamb,123.0,131.0,Beals,bealsto01,109.0,6.0,0.8,0.24304267161410015,0.8,0.2541809076453494,0.5848673640460915,0.3306864564007421,6.0,0
20,78.0,14.03,0.2694235588972431,14.03,0.09,0,5.049999999999999,0.09,0.2736970613027933,0.5937513637255167,26.04000000000001,0.09,0.3200543024227234,Thomas Joseph,536.0,645.0,Carey,careyto01,405.0,9.0,8.47,0.2694235588972431,8.47,0.2736970613027933,0.5937513637255167,0.3200543024227234,9.0,0
24,63.0,31.01,0.29036375239310785,27.0,0.08,0,2.0699999999999994,0.08,0.3024037737742761,0.6765135376543017,35.02,0.08,0.3741097638800256,William H.,339.0,455.0,Craver,cravebi01,330.0,8.0,5.64,0.29036375239310785,5.64,0.3024037737742761,0.6765135376543017,0.3741097638800256,8.0,0
25,74.0,17.040000000000006,0.2541410317084713,65.0,0.1,0,8.059999999999999,0.1,0.2764208979891654,0.5931553986990565,69.05000000000003,0.1,0.3167345007098911,Edgar Edward,452.0,537.0,Cuthbert,cuthbne01,453.0,10.0,1.34,0.2541410317084713,1.34,0.2764208979891654,0.5931553986990565,0.3167345007098911,10.0,0
29,85.01,31.050000000000004,0.2741555380989788,48.0,0.11999999999999998,0,0.11999999999999998,0.11999999999999998,0.2876063895399038,0.6196841585893932,47.06999999999999,0.11999999999999998,0.3320777690494894,David Daniel,576.0,698.0,Eggler,eggleda01,491.01,12.0,4.92,0.2741555380989788,4.92,0.2876063895399038,0.6196841585893932,0.3320777690494894,12.0,0
31,28.020000000000003,10.04,0.2363809523809524,12.03,0.08,0,3.049999999999999,0.08,0.2442875624362785,0.5302356143843304,6.049999999999999,0.08,0.2859480519480519,William Charles,252.0,273.02,Fisher,fishech01,179.01999999999995,8.0,-2.27,0.2363809523809524,-2.27,0.2442875624362785,0.5302356143843304,0.2859480519480519,8.0,0
32,72.0,14.0,0.3103448275862069,15.01,0.06000000000000001,0,2.04,0.06000000000000001,0.318034585251236,0.7079296377249991,14.01,0.06000000000000001,0.3898950524737631,Weston Dickson,273.0,414.0,Fisler,fislewe01,258.0,6.0,7.08,0.3103448275862069,7.08,0.318034585251236,0.7079296377249991,0.3898950524737631,6.0,0
37,70.02,30.020000000000003,0.2606598360655737,42.02,0.1,0,8.079999999999998,0.11999999999999998,0.27319276137682097,0.5970903023604275,14.089999999999998,0.11999999999999998,0.3238975409836065,Charles John,583.0,636.01,Fulmer,fulmech01,360.01,12.0,8.75,0.2606598360655737,8.75,0.27319276137682097,0.5970903023604275,0.3238975409836065,12.0,0
38,43.02,7.039999999999999,0.26695842450765866,35.01,0.08,0,1.07,0.08,0.2852357823022821,0.5961839952855059,15.04,0.08,0.3109482129832239,John W.,315.0,366.0,Glenn,glennjo01,235.01,8.0,2.43,0.26695842450765866,2.43,0.2852357823022821,0.5961839952855059,0.3109482129832239,8.0,0
40,68.0,53.0,0.3219628964691801,37.0,0.07,0,13.02,0.07,0.33666444202465845,0.7861318268241797,18.03,0.07,0.4494673847995212,George William,365.0,538.0,Hall,hallge01,377.0,7.0,10.38,0.3219628964691801,10.38,0.33666444202465845,0.7861318268241797,0.4494673847995212,7.0,0
41,25.01,12.03,0.2868421052631579,15.02,0.08,0,5.059999999999999,0.08,0.3007043525374752,0.6720859314848435,5.049999999999999,0.08,0.3713815789473684,James H.,170.0,218.0,Hallinan,halliji01,142.01,8.0,1.37,0.2868421052631579,1.37,0.3007043525374752,0.6720859314848435,0.3713815789473684,8.0,0
43,44.0,8.04,0.27936746987951805,32.0,0.08,0,0.08,0.08,0.2963474885307611,0.6211366451572671,40.03,0.08,0.32478915662650604,Winfield Scott,294.0,371.0,Hastings,hastisc01,264.0,8.0,1.7,0.27936746987951805,1.7,0.2963474885307611,0.6211366451572671,0.32478915662650604,8.0,0
45,85.01,15.02,0.3072188024622272,17.03,0.09,0,4.059999999999999,0.09,0.31377722105519873,0.6921935612902295,18.040000000000006,0.09,0.3784163402350307,Richard,372.0,549.0,Higham,highadi01,384.0,9.0,6.9,0.3072188024622272,6.9,0.31377722105519873,0.6921935612902295,0.3784163402350307,9.0,0
55,85.0,28.020000000000003,0.2989561586638831,31.01,0.09,0,4.059999999999999,0.09,0.3079313656391296,0.6708624721109459,52.03999999999999,0.09,0.36293110647181626,Andrew Jackson,501.0,716.0,Leonard,leonaan01,481.0,9.0,6.42,0.2989561586638831,6.42,0.3079313656391296,0.6708624721109459,0.36293110647181626,9.0,0
56,32.01,7.0299999999999985,0.2737642585551331,32.02,0.07,0,1.06,0.07,0.29524239964580873,0.6158222475545541,17.020000000000003,0.07,0.3205798479087453,Fergus G.,220.0,288.0,Malone,malonfe01,200.01,7.0,3.52,0.2737642585551331,3.52,0.29524239964580873,0.6158222475545541,0.3205798479087453,7.0,0
59,56.02,13.04,0.2756952841596131,26.020000000000003,0.11999999999999998,0,0.11999999999999998,0.11999999999999998,0.28323348994519915,0.5921653722507212,65.07000000000004,0.11999999999999998,0.308931882305522,Michael Henry,547.0,684.0,McGeary,mcgeami01,484.0,12.0,10.83,0.2756952841596131,10.83,0.28323348994519915,0.5921653722507212,0.308931882305522,12.0,0
60,132.0,44.01000000000001,0.3458018304814962,30.0,0.09,0,11.04,0.09,0.3535298327291029,0.8000638558090869,25.04000000000001,0.09,0.446534023079984,Calvin Alexander,530.0,869.0,McVey,mcveyca01,555.0,9.0,20.5,0.3458018304814962,20.5,0.3535298327291029,0.8000638558090869,0.446534023079984,9.0,0
62,61.0,21.0,0.2839344262295082,13.01,0.06000000000000001,0,2.04,0.06000000000000001,0.2900079967232939,0.6454965213134578,9.03,0.06000000000000001,0.35548852459016395,Everett,337.0,433.0,Mills,millsev01,283.0,6.0,4.31,0.2839344262295082,4.31,0.2900079967232939,0.6454965213134578,0.35548852459016395,6.0,0
66,1.05,0.06000000000000001,0.10956521739130433,1.05,0.06000000000000001,0,0.06000000000000001,0.06000000000000001,0.13037947848208606,0.2692925219603469,0.06000000000000001,0.06000000000000001,0.13891304347826086,Cornelius Carmen,12.0,5.039999999999999,Phelps,phelpne01,6.039999999999999,6.0,-0.49,0.10956521739130433,-0.49,0.13037947848208606,0.2692925219603469,0.13891304347826086,6.0,0
67,119.03000000000002,53.02,0.3212355017650025,49.01,0.1,0,20.050000000000004,0.11,0.3376209268681541,0.8026890055368379,47.05999999999999,0.11,0.4650680786686838,Lipman Emanuel,425.0,637.01,Pike,pikeli01,433.01,11.0,14.2,0.3212355017650025,14.2,0.3376209268681541,0.8026890055368379,0.4650680786686838,11.0,0
70,78.0,17.03,0.21742919389978213,104.01,3.09,0,1.11,0.11999999999999998,0.2523082815062733,0.520016342508452,5.11,0.11999999999999998,0.26770806100217864,Joseph L.,596.0,499.0,Quest,questjo01,300.0,12.0,2.97,0.21742919389978213,2.97,0.2523082815062733,0.520016342508452,0.26770806100217864,12.0,0
