,ERA,HOF,Opposing_BA,completed,firstName,games,hits,homeruns,lastName,losses,outs_pitched,player_id,runs_earned,saves,seasons,shutouts,started,strikes,walks,wins,WAR,ERA,wins,strikes,games,seasons,Opposing_BA,predictions
3,2.9528571428571437,0,0.09,126.0,William Charles,165.0,1532.0,17.02,Fisher,84.0,3959.0,fishech01,415.0,2.049999999999999,7.0,4.039999999999999,141.0,99.0,77.01,57.01,-2.27,2.9528571428571437,57.01,99.0,165.0,7.0,0.09,0
7,3.250625,0,0.10625,525.0,Robert T.,578.0,5591.0,69.02000000000001,Mathews,248.01,14869.0,mathebo01,1591.0,3.139999999999999,16.0,19.06,568.0,1366.0,533.0,297.0,-7.09,3.250625,297.0,1366.0,578.0,16.0,0.10625,0
8,3.026666666666667,0,0.06666666666666668,227.0,John Dickson,237.0,2420.0,19.0,McBride,78.0,6245.0,mcbridi01,660.0,0.06000000000000001,6.0,10.03,237.0,106.0,172.0,149.01,0.12,3.026666666666667,149.01,106.0,237.0,6.0,0.06666666666666668,0
14,2.3842857142857143,0,0.08714285714285715,281.01,Albert Goodwill,347.0,3271.0,15.02,Spalding,65.01,8672.0,spaldal01,686.0,11.04,7.0,24.01,327.0,142.0,156.01,253.0,6.76,2.3842857142857143,253.0,142.0,347.0,7.0,0.08714285714285715,0
18,2.76625,0,0.05,228.0,George,250.0,2693.0,17.02,Zettlein,112.0,6527.0,zettlge01,671.0,2.07,8.0,13.03,244.0,115.0,148.0,129.0,-3.62,2.76625,129.0,115.0,250.0,8.0,0.05,0
22,2.6116666666666664,0,0.09666666666666668,233.0,William Arthur,242.0,2507.0,12.02,Cummings,94.0,6449.0,cummica01,595.0,0.06000000000000001,6.0,19.01,241.0,130.0,117.0,145.0,-2.06,2.6116666666666664,145.0,130.0,242.0,6.0,0.09666666666666668,0
36,2.956363636363636,0,0.16818181818181818,386.01,Thomas Henry,417.0,3767.0,51.01,Bond,163.0,10886.0,bondto01,932.0,0.11,11.0,42.03999999999999,408.0,879.0,198.0,234.03,0.01,2.956363636363636,234.03,879.0,417.0,11.0,0.16818181818181818,0
45,2.698888888888889,0,0.17333333333333334,302.0,George Washington,347.0,3007.0,45.0,Bradley,151.0,8820.0,bradlge01,790.0,1.08,9.0,32.03,325.0,620.0,195.0,171.0,1.54,2.698888888888889,171.0,620.0,347.0,9.0,0.17333333333333334,0
48,2.2333333333333334,0,0.16666666666666666,151.0,James Alexander,157.0,1437.0,7.01,Devlin,76.0,4215.0,devliji01,320.0,0.03,3.0,9.01,153.0,273.0,89.0,72.0,3.07,2.2333333333333334,72.0,273.0,157.0,3.0,0.16666666666666666,0
50,3.0017647058823536,0,0.7870588235294118,646.0,James Francis,705.0,6405.0,122.02,Galvin,310.0,18010.0,galvipu01,1910.0,2.149999999999998,17.0,57.03,689.0,1806.0,745.0,364.0,-9.85,3.0017647058823536,364.0,1806.0,705.0,17.0,0.7870588235294118,0
60,3.3249999999999997,0,0.19500000000000006,90.0,Frederick C.,106.0,1043.0,6.0299999999999985,Nichols,73.01,2643.0,nichotr01,319.0,0.06000000000000001,6.0,1.05,98.0,136.01,92.01,28.01,-1.65,3.3249999999999997,28.01,136.01,106.0,6.0,0.19500000000000006,0
65,5.0633333333333335,0,0.04666666666666667,143.0,Samuel H.,155.0,1455.0,14.02,Weaver,80.01,3977.0,weavesa01,474.0,0.06000000000000001,6.0,7.0299999999999985,152.0,369.0,109.0,70.01,-0.05,5.0633333333333335,70.01,369.0,155.0,6.0,0.04666666666666667,0
77,3.716,0,0.274,172.0,Frank S.,176.0,1627.0,12.01,Larkin,80.0,4702.0,larkite01,424.0,0.05,5.0,9.02,176.0,406.01,124.01,89.02000000000002,2.13,3.716,89.02000000000002,406.01,176.0,5.0,0.274,0
87,2.8550000000000004,1,0.131,394.0,William Henry,403.0,3440.0,65.02,White,166.0,10628.0,whitewi01,896.0,0.1,10.0,36.02,401.0,1041.0,496.0,229.01,-4.59,2.8550000000000004,229.01,1041.0,403.0,10.0,0.131,1
94,2.4166666666666665,0,0.22083333333333333,466.0,James,492.0,4092.0,83.00999999999998,McCormick,214.0,12827.0,mccorji01,1155.0,1.11,12.0,33.02,485.0,1704.0,749.0,265.0,0.26,2.4166666666666665,265.0,1704.0,492.0,12.0,0.22083333333333333,0
97,2.3185714285714285,0,0.2371428571428572,244.0,John Montgomery,292.0,2317.0,26.0,Ward,102.0,7385.0,wardjo01,575.0,3.0399999999999987,7.0,24.01,261.0,920.0,253.0,164.0,35.6,2.3185714285714285,164.0,920.0,292.0,7.0,0.2371428571428572,0
103,2.6342857142857143,0,0.21428571428571427,174.0,Fredrick Ernest,189.0,1685.0,38.02,Goldsmith,68.0,4829.0,goldsfr01,488.0,1.06,7.0,16.02,185.0,433.0,171.0,112.0,-1.22,2.6342857142857143,112.0,433.0,189.0,7.0,0.21428571428571427,0
104,2.7350000000000003,0,0.1375,96.0,Patrick Henry,103.0,922.0,9.0,McCormick,58.0,2652.0,mccorha01,261.0,0.04,4.0,10.0,103.0,157.0,115.0,41.0,-1.08,2.7350000000000003,41.0,157.0,103.0,4.0,0.1375,0
109,3.768333333333333,0,0.20500000000000004,161.0,J Lee,191.0,1763.0,27.02,Richmond,100.01,4749.0,richmle01,538.0,3.049999999999999,6.0,8.04,179.0,552.0,269.0,75.01,0.44,3.768333333333333,75.01,552.0,191.0,6.0,0.20500000000000004,0
113,4.001111111111111,0,0.24222222222222226,256.0,Lawrence J.,277.0,2147.0,69.01,Corcoran,89.0,7177.0,corcola01,626.0,2.0799999999999983,9.0,22.030000000000005,268.0,1103.0,496.0,177.01999999999995,-2.02,4.001111111111111,177.01999999999995,1103.0,277.0,9.0,0.24222222222222226,0
118,2.858,0,0.8666666666666668,554.0,Timothy John,600.0,4439.0,81.00999999999998,Keefe,225.0,15143.0,keefeti01,1472.0,2.13,15.0,39.03999999999999,594.0,2562.0,1220.0,342.0,-2.24,2.858,342.0,2562.0,600.0,15.0,0.8666666666666668,0
122,4.405555555555555,0,0.10333333333333332,137.0,Frank Henry,143.0,1273.0,23.03,Mountain,83.0,3647.0,mountfr01,469.0,1.08,9.0,9.07,142.0,383.0,309.0,58.02,1.59,4.405555555555555,58.02,383.0,143.0,9.0,0.10333333333333332,0
125,3.7330769230769234,0,0.25230769230769234,525.01,Michael Francis,565.0,4587.0,106.01,Welch,210.01,14406.0,welchmi01,1447.0,4.1,13.0,41.02,549.0,1850.0,1297.0,307.01,-0.77,3.7330769230769234,307.01,1850.0,565.0,13.0,0.25230769230769234,0
126,3.395454545454545,0,0.23909090909090905,249.0,George Edward,279.0,2594.0,61.01,Weidman,156.0,6955.0,wiedmst01,928.0,2.0999999999999983,11.0,13.05,269.0,910.0,459.0,101.02,-7.21,3.395454545454545,101.02,910.0,279.0,11.0,0.23909090909090905,0
