,Unnamed: 0,2B,3B,BA,BB,HBP,HOF,HR,IBB,OBP,OPS,SB,SF,SLG,extra_base_hits,firstName,games,hits,lastName,player_id,runs,WAR
0,0,581.0,142.0,0.3325873309331517,983.0,32.16,N,97.1,0.2700000000000001,0.3925780367910184,0.8376787471150429,276.11,0.2700000000000001,0.4451007103240245,0.0,Adrian Constantine,2523.0,3418.0,Anson,ansonca01,1996.0,93.92
1,1,74.0,17.040000000000006,0.2541410317084713,65.0,0.1,N,8.059999999999999,0.1,0.2764208979891654,0.5931553986990565,69.05000000000003,0.1,0.3167345007098911,0.0,Edgar Edward,452.0,537.0,Cuthbert,cuthbne01,453.0,1.34
2,2,85.01,31.050000000000004,0.2741555380989788,48.0,0.11999999999999998,N,0.11999999999999998,0.11999999999999998,0.2876063895399038,0.6196841585893932,47.06999999999999,0.11999999999999998,0.3320777690494894,0.0,David Daniel,576.0,698.0,Eggler,eggleda01,491.01,4.92
3,3,70.02,30.020000000000003,0.2606598360655737,42.02,0.1,N,8.079999999999998,0.11999999999999998,0.27319276137682097,0.5970903023604275,14.089999999999998,0.11999999999999998,0.3238975409836065,0.0,Charles John,583.0,636.01,Fulmer,fulmech01,360.01,8.75
4,4,56.02,13.04,0.2756952841596131,26.020000000000003,0.11999999999999998,N,0.11999999999999998,0.11999999999999998,0.28323348994519915,0.5921653722507212,65.07000000000004,0.11999999999999998,0.308931882305522,0.0,Michael Henry,547.0,684.0,McGeary,mcgeami01,484.0,10.83
5,5,119.03000000000002,53.02,0.3212355017650025,49.01,0.1,N,20.050000000000004,0.11,0.3376209268681541,0.8026890055368379,47.05999999999999,0.11,0.4650680786686838,0.0,Lipman Emanuel,425.0,637.01,Pike,pikeli01,433.01,14.2
6,6,78.0,17.03,0.21742919389978213,104.01,3.09,N,1.11,0.11999999999999998,0.2523082815062733,0.520016342508452,5.11,0.11999999999999998,0.26770806100217864,0.0,Joseph L.,596.0,499.0,Quest,questjo01,300.0,2.97
7,7,147.0,67.02,0.2987149778807668,164.01,0.16,N,15.07,0.16,0.32214695408372074,0.6895895494070828,18.1,0.16,0.3674425953233621,0.0,Joseph,1071.0,1418.0,Start,startjo01,854.0,32.24
8,8,217.0,89.0,0.2736131934032984,199.0,10.13,N,15.04,0.15,0.3096754430956859,0.6932636489927373,15.099999999999998,0.15,0.38358820589705145,0.0,Thomas Jefferson,963.0,1095.0,York,yorkto01,743.0,19.38
9,9,164.01999999999995,50.05999999999999,0.2502543234994913,140.0,10.15,N,18.120000000000008,0.19000000000000006,0.2724693702693205,0.5875253214392087,59.12000000000001,0.19000000000000006,0.3150559511698881,0.0,John Joseph,1187.0,1230.0,Burdock,burdoja01,777.0,14.83
10,10,91.01,35.01,0.2829964328180737,112.0,0.11,N,7.059999999999999,0.11,0.3134880579230576,0.6687040706063712,17.07000000000001,0.11,0.3552160126833135,0.0,John Edgar,588.0,714.0,Clapp,clappjo01,457.0,18.92
11,11,90.02,26.05,0.2528870673952641,352.02,27.09,N,3.1199999999999988,0.15,0.3299848091341206,0.6288585189094698,68.08,0.15,0.2988737097753491,0.0,John W.,817.0,833.01,Nelson,nelsoca01,648.01,15.92
12,12,465.01,151.01,0.3107583774250441,510.01,36.15,N,62.05,0.2300000000000001,0.3523392539709371,0.7751705296911018,224.11,0.2300000000000001,0.4228312757201647,0.0,James Henry,1999.0,2643.0,O'Rourke,orourji01,1729.0,
13,13,69.0,39.01,0.24404761904761904,71.00999999999998,0.1,N,8.059999999999999,0.11,0.2662201533496752,0.5830568880435527,14.07,0.11,0.3168367346938775,0.0,John Jay,578.0,574.0,Remsen,remseja01,366.0,4.17
